	index	book.type	book.value	article.type	article.value	linkCount.datatype	linkCount.type	linkCount.value	gndId.type	gndId.value	publicationDate.datatype	publicationDate.type	publicationDate.value	bookLabel.xml:lang	bookLabel.type	bookLabel.value	authorLabel.xml:lang	authorLabel.type	authorLabel.value	languageLabel.xml:lang	languageLabel.type	languageLabel.value
32	9	uri	http://www.wikidata.org/entity/Q25217307	uri	https://en.wikipedia.org/wiki/Wireless_(short_story)	http://www.w3.org/2001/XMLSchema#integer	literal	2			http://www.w3.org/2001/XMLSchema#dateTime	literal	1902-01-01T00:00:00Z	en	literal	Wireless	en	literal	Rudyard Kipling			
33	10	uri	http://www.wikidata.org/entity/Q30601802	uri	https://en.wikipedia.org/wiki/Rikki-Tikki-Tavi_(picture_book)	http://www.w3.org/2001/XMLSchema#integer	literal	1			http://www.w3.org/2001/XMLSchema#dateTime	literal	1997-01-01T00:00:00Z	en	literal	Rikki-Tikki-Tavi	en	literal	Rudyard Kipling			
34	11	uri	http://www.wikidata.org/entity/Q60786869	uri	https://en.wikipedia.org/wiki/Something_of_Myself	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	Something of Myself	en	literal	Rudyard Kipling			
35	12	uri	http://www.wikidata.org/entity/Q62010317	uri	https://en.wikipedia.org/wiki/Boots_(poem)	http://www.w3.org/2001/XMLSchema#integer	literal	3			http://www.w3.org/2001/XMLSchema#dateTime	literal	1903-01-01T00:00:00Z	en	literal	Boots	en	literal	Rudyard Kipling	en	literal	English
36	13	uri	http://www.wikidata.org/entity/Q106449855	uri	https://en.wikipedia.org/wiki/The_Five_Nations	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	The Five Nations	en	literal	Rudyard Kipling	en	literal	English
37	14	uri	http://www.wikidata.org/entity/Q19073450	uri	https://en.wikipedia.org/wiki/Dane-geld_(poem)	http://www.w3.org/2001/XMLSchema#integer	literal	2			http://www.w3.org/2001/XMLSchema#dateTime	literal	1911-01-01T00:00:00Z	en	literal	Dane-geld	en	literal	Rudyard Kipling	en	literal	English
38	15	uri	http://www.wikidata.org/entity/Q19724435	uri	https://en.wikipedia.org/wiki/Total_Dictation	http://www.w3.org/2001/XMLSchema#integer	literal	4						en	literal	Total Dictation	en	literal	Rudyard Kipling	en	literal	Russian
39	16	uri	http://www.wikidata.org/entity/Q19871609	uri	https://en.wikipedia.org/wiki/The_Broken-Link_Handicap	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	The Broken Link Handicap	en	literal	Rudyard Kipling			
40	17	uri	http://www.wikidata.org/entity/Q19895741	uri	https://en.wikipedia.org/wiki/The_Seven_Seas_(poetry_collection)	http://www.w3.org/2001/XMLSchema#integer	literal	1			http://www.w3.org/2001/XMLSchema#dateTime	literal	1896-01-01T00:00:00Z	en	literal	The Seven Seas	en	literal	Rudyard Kipling	en	literal	English
41	18	uri	http://www.wikidata.org/entity/Q16385760	uri	https://en.wikipedia.org/wiki/From_Sea_to_Sea_and_Other_Sketches,_Letters_of_Travel	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	From Sea to Sea and Other Sketches, Letters of Travel	en	literal	Rudyard Kipling			
42	19	uri	http://www.wikidata.org/entity/Q16386300	uri	https://en.wikipedia.org/wiki/In_the_House_of_Suddhoo	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	In the House of Suddhoo	en	literal	Rudyard Kipling			
43	20	uri	http://www.wikidata.org/entity/Q18162277	uri	https://en.wikipedia.org/wiki/The_Ship_that_Found_Herself	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	The Ship that Found Herself	en	literal	Rudyard Kipling			
44	21	uri	http://www.wikidata.org/entity/Q19026203	uri	https://en.wikipedia.org/wiki/Many_Inventions	http://www.w3.org/2001/XMLSchema#integer	literal	3						en	literal	Many Inventions	en	literal	Rudyard Kipling			
45	22	uri	http://www.wikidata.org/entity/Q1517178	uri	https://en.wikipedia.org/wiki/The_Light_That_Failed	http://www.w3.org/2001/XMLSchema#integer	literal	7			http://www.w3.org/2001/XMLSchema#dateTime	literal	1891-01-01T00:00:00Z	en	literal	The Light That Failed	en	literal	Rudyard Kipling	en	literal	English
46	23	uri	http://www.wikidata.org/entity/Q1820680	uri	https://en.wikipedia.org/wiki/Rikki-Tikki-Tavi	http://www.w3.org/2001/XMLSchema#integer	literal	17			http://www.w3.org/2001/XMLSchema#dateTime	literal	1893-01-01T00:00:00Z	en	literal	Rikki-Tikki-Tavi	en	literal	Rudyard Kipling	en	literal	English
47	24	uri	http://www.wikidata.org/entity/Q3120849	uri	https://en.wikipedia.org/wiki/Gunga_Din	http://www.w3.org/2001/XMLSchema#integer	literal	6			http://www.w3.org/2001/XMLSchema#dateTime	literal	1892-01-01T00:00:00Z	en	literal	Gunga Din	en	literal	Rudyard Kipling	en	literal	English
48	25	uri	http://www.wikidata.org/entity/Q3484772	uri	https://en.wikipedia.org/wiki/Plain_Tales_from_the_Hills	http://www.w3.org/2001/XMLSchema#integer	literal	5			http://www.w3.org/2001/XMLSchema#dateTime	literal	1888-01-01T00:00:00Z	en	literal	Plain Tales from the Hills	en	literal	Rudyard Kipling	en	literal	English
49	26	uri	http://www.wikidata.org/entity/Q3520979	uri	https://en.wikipedia.org/wiki/The_Fringes_of_the_Fleet	http://www.w3.org/2001/XMLSchema#integer	literal	4						en	literal	The Fringes of the Fleet	en	literal	Rudyard Kipling			
50	27	uri	http://www.wikidata.org/entity/Q3790833	uri	https://en.wikipedia.org/wiki/Mowgli%27s_Brothers	http://www.w3.org/2001/XMLSchema#integer	literal	8			http://www.w3.org/2001/XMLSchema#dateTime	literal	1894-01-01T00:00:00Z	en	literal	Mowgli's Brothers	en	literal	Rudyard Kipling	en	literal	English
51	28	uri	http://www.wikidata.org/entity/Q3993374	uri	https://en.wikipedia.org/wiki/Toomai_of_the_Elephants	http://www.w3.org/2001/XMLSchema#integer	literal	5			http://www.w3.org/2001/XMLSchema#dateTime	literal	1893-01-01T00:00:00Z	en	literal	Toomai of the Elephants	en	literal	Rudyard Kipling	en	literal	English
52	29	uri	http://www.wikidata.org/entity/Q4086308	uri	https://en.wikipedia.org/wiki/Rudyard_Kipling_bibliography	http://www.w3.org/2001/XMLSchema#integer	literal	2						en	literal	Rudyard Kipling bibliography	en	literal	Rudyard Kipling			
53	30	uri	http://www.wikidata.org/entity/Q4342308	uri	https://en.wikipedia.org/wiki/Puck_of_Pook%27s_Hill	http://www.w3.org/2001/XMLSchema#integer	literal	8			http://www.w3.org/2001/XMLSchema#dateTime	literal	1906-01-01T00:00:00Z	en	literal	Puck of Pook's Hill	en	literal	Rudyard Kipling	en	literal	English
54	31	uri	http://www.wikidata.org/entity/Q4439259	uri	https://en.wikipedia.org/wiki/Stalky_%26_Co.	http://www.w3.org/2001/XMLSchema#integer	literal	5			http://www.w3.org/2001/XMLSchema#dateTime	literal	1899-01-01T00:00:00Z	en	literal	Stalky & Co.	en	literal	Rudyard Kipling	en	literal	English
55	32	uri	http://www.wikidata.org/entity/Q4545167	uri	https://en.wikipedia.org/wiki/.007	http://www.w3.org/2001/XMLSchema#integer	literal	4			http://www.w3.org/2001/XMLSchema#dateTime	literal	1897-01-01T00:00:00Z	en	literal	.007	en	literal	Rudyard Kipling			
56	33	uri	http://www.wikidata.org/entity/Q4656981	uri	https://en.wikipedia.org/wiki/A_Germ-Destroyer	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	A Germ-Destroyer	en	literal	Rudyard Kipling			
57	34	uri	http://www.wikidata.org/entity/Q4659694	uri	https://en.wikipedia.org/wiki/A_Song_in_Storm	http://www.w3.org/2001/XMLSchema#integer	literal	2						en	literal	A Song in Storm	en	literal	Rudyard Kipling			
58	35	uri	http://www.wikidata.org/entity/Q4730157	uri	https://en.wikipedia.org/wiki/All_the_Mowgli_Stories	http://www.w3.org/2001/XMLSchema#integer	literal	3			http://www.w3.org/2001/XMLSchema#dateTime	literal	1933-01-01T00:00:00Z	en	literal	All the Mowgli Stories	en	literal	Rudyard Kipling	en	literal	English
