	index	book.type	book.value	article.type	article.value	linkCount.datatype	linkCount.type	linkCount.value	gndId.type	gndId.value	publicationDate.datatype	publicationDate.type	publicationDate.value	bookLabel.xml:lang	bookLabel.type	bookLabel.value	authorLabel.xml:lang	authorLabel.type	authorLabel.value	languageLabel.xml:lang	languageLabel.type	languageLabel.value	last_section_surname	nach_bookLabel.value_Bestand_Göttingen	nach_bookLabel.value_Ort_Göttingen	nach_bookLabel.value_Medium_Göttingen	nach_bookLabel.value_URL_GUK	error_nach_title	nach_bookLabel.value_last_section_surname_Bestand_Göttingen	nach_bookLabel.value_last_section_surname_Ort_Göttingen	nach_bookLabel.value_last_section_surname_Medium_Göttingen	nach_bookLabel.value_last_section_surname_URL_GUK
413	2	uri	http://www.wikidata.org/entity/Q4067518	uri	https://en.wikipedia.org/wiki/Antonovka_Apples	http://www.w3.org/2001/XMLSchema#integer	literal	6			http://www.w3.org/2001/XMLSchema#dateTime	literal	1900-01-01T00:00:00Z	en	literal	Antonov Apples	en	literal	Ivan Bunin	en	literal	Russian	Bunin	0			https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Antonov Apples&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Antonov Apples"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
414	3	uri	http://www.wikidata.org/entity/Q4146406	uri	https://en.wikipedia.org/wiki/The_Gentleman_from_San_Francisco	http://www.w3.org/2001/XMLSchema#integer	literal	5			http://www.w3.org/2001/XMLSchema#dateTime	literal	1915-01-01T00:00:00Z	en	literal	The Gentleman from San Francisco	en	literal	Ivan Bunin	en	literal	Russian	Bunin	1		Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The Gentleman from San Francisco&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		1		Oax	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The Gentleman from San Francisco"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
415	4	uri	http://www.wikidata.org/entity/Q4332479	uri	https://en.wikipedia.org/wiki/Cursed_Days	http://www.w3.org/2001/XMLSchema#integer	literal	4			http://www.w3.org/2001/XMLSchema#dateTime	literal	1926-01-01T00:00:00Z	en	literal	Cursed Days	en	literal	Ivan Bunin	en	literal	Russian	Bunin	0			https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Cursed Days&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Cursed Days"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
416	5	uri	http://www.wikidata.org/entity/Q4668575	uri	https://en.wikipedia.org/wiki/About_Chekhov	http://www.w3.org/2001/XMLSchema#integer	literal	1			http://www.w3.org/2001/XMLSchema#dateTime	literal	1955-01-01T00:00:00Z	en	literal	About Chekhov	en	literal	Ivan Bunin	en	literal	Russian	Bunin	1	BBK-SLAV	Aan	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit About Chekhov&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		1	BBK-SLAV	Aan	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""About Chekhov"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
417	6	uri	http://www.wikidata.org/entity/Q4915806	uri	https://en.wikipedia.org/wiki/Bird%27s_Shadow	http://www.w3.org/2001/XMLSchema#integer	literal	1			http://www.w3.org/2001/XMLSchema#dateTime	literal	1931-01-01T00:00:00Z	en	literal	Bird's Shadow	en	literal	Ivan Bunin	en	literal	Russian	Bunin	8		Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Bird's Shadow&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Bird's Shadow"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
418	7	uri	http://www.wikidata.org/entity/Q5306683	uri	https://en.wikipedia.org/wiki/Dreams_(Ivan_Bunin)	http://www.w3.org/2001/XMLSchema#integer	literal	3			http://www.w3.org/2001/XMLSchema#dateTime	literal	1904-01-01T00:00:00Z	en	literal	Dreams	en	literal	Ivan Bunin	en	literal	Russian	Bunin	1174	7/042|BBK-HIST|ALS1|FMAG	Oax|Aax|Aau|Aaa	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Dreams&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Dreams"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
419	8	uri	http://www.wikidata.org/entity/Q5309566	uri	https://en.wikipedia.org/wiki/Dry_Valley_(novel)	http://www.w3.org/2001/XMLSchema#integer	literal	3	literal	4445190-8	http://www.w3.org/2001/XMLSchema#dateTime	literal	1912-01-01T00:00:00Z	en	literal	Dry Valley	en	literal	Ivan Bunin	en	literal	Russian	Bunin	14	7/029|FMAG	Oaxc|Aau|Ean|Oaxkr|Afu|Oaxkf|Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Dry Valley&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Dry Valley"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
420	9	uri	http://www.wikidata.org/entity/Q6009006	uri	https://en.wikipedia.org/wiki/In_August	http://www.w3.org/2001/XMLSchema#integer	literal	2						en	literal	In August	en	literal	Ivan Bunin	en	literal	Russian	Bunin	52172	BBP|BBF : MAG|HG-LS|FMAG	AFu|Aau	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit In August&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""In August"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
421	10	uri	http://www.wikidata.org/entity/Q6675908	uri	https://en.wikipedia.org/wiki/Loopy_Ears	http://www.w3.org/2001/XMLSchema#integer	literal	3			http://www.w3.org/2001/XMLSchema#dateTime	literal	1917-01-01T00:00:00Z	en	literal	Loopy Ears	en	literal	Ivan Bunin	en	literal	Russian	Bunin	0			https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Loopy Ears&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Loopy Ears"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
422	11	uri	http://www.wikidata.org/entity/Q6812969	uri	https://en.wikipedia.org/wiki/Meliton_(Ivan_Bunin)	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	Meliton	en	literal	Ivan Bunin	en	literal	Russian	Bunin	9	7/919|BBK-ROM|7/115|HG-MAG|ALS1|7/042	Aan|Oaxkr|Aar|Aau	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Meliton&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Meliton"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
423	12	uri	http://www.wikidata.org/entity/Q6883612	uri	https://en.wikipedia.org/wiki/Mitya%27s_Love	http://www.w3.org/2001/XMLSchema#integer	literal	4			http://www.w3.org/2001/XMLSchema#dateTime	literal	1925-01-01T00:00:00Z	en	literal	Mitya's Love	en	literal	Ivan Bunin	en	literal	Russian	Bunin	0			https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Mitya's Love&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Mitya's Love"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
424	13	uri	http://www.wikidata.org/entity/Q7772632	uri	https://en.wikipedia.org/wiki/The_Village_(Bunin_novel)	http://www.w3.org/2001/XMLSchema#integer	literal	3						en	literal	The Village	en	literal	Ivan Bunin	en	literal	Russian	Bunin	3581	FMAG|bestellt / SE erl.|7/066|ALS1|7/038	Oau|Aau|Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The Village&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The Village"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
425	14	uri	http://www.wikidata.org/entity/Q16386684	uri	https://en.wikipedia.org/wiki/The_Life_of_Arseniev	http://www.w3.org/2001/XMLSchema#integer	literal	4	literal	4445187-8	http://www.w3.org/2001/XMLSchema#dateTime	literal	1952-01-01T00:00:00Z	en	literal	The Life of Arseniev	en	literal	Ivan Bunin	en	literal	Russian	Bunin	0			https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The Life of Arseniev&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The Life of Arseniev"" and PER Bunin&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
426	0	uri	http://www.wikidata.org/entity/Q628889	uri	https://en.wikipedia.org/wiki/Right_You_Are_(if_you_think_so)	http://www.w3.org/2001/XMLSchema#integer	literal	12	literal	4255169-9				en	literal	Così è	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	5	7/902|FMAG	Gsu|Aau|Afr|Oaxf	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Così è&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		3	7/902|FMAG	Aau|Afr	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Così è"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
427	1	uri	http://www.wikidata.org/entity/Q641651	uri	https://en.wikipedia.org/wiki/Six_Characters_in_Search_of_an_Author	http://www.w3.org/2001/XMLSchema#integer	literal	27			http://www.w3.org/2001/XMLSchema#dateTime	literal	1921-01-01T00:00:00Z	en	literal	Six Characters in Search of an Author	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	2	FMAG	Asu|Aauk	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Six Characters in Search of an Author&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		1	FMAG	Aauk	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Six Characters in Search of an Author"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
428	2	uri	http://www.wikidata.org/entity/Q667340	uri	https://en.wikipedia.org/wiki/Henry_IV_(Pirandello)	http://www.w3.org/2001/XMLSchema#integer	literal	14			http://www.w3.org/2001/XMLSchema#dateTime	literal	1922-01-01T00:00:00Z	en	literal	Henry IV	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	766	BBK-HIST|FMAG|LS1	Aaukf|Oaxf|Aau|Afu|Acuk|Afuk	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Henry IV&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		1	FMAG	Aau	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Henry IV"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
429	3	uri	http://www.wikidata.org/entity/Q1131904	uri	https://en.wikipedia.org/wiki/The_Turn_(novel)	http://www.w3.org/2001/XMLSchema#integer	literal	2			http://www.w3.org/2001/XMLSchema#dateTime	literal	1902-01-01T00:00:00Z	en	literal	The Turn	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	2189	HG-LS|FMAG	Oau|Aau|Oax|Aax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The Turn&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The Turn"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
430	4	uri	http://www.wikidata.org/entity/Q1632269	uri	https://en.wikipedia.org/wiki/The_Late_Mattia_Pascal	http://www.w3.org/2001/XMLSchema#integer	literal	8			http://www.w3.org/2001/XMLSchema#dateTime	literal	1904-01-01T00:00:00Z	en	literal	The Late Mattia Pascal	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	0			https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The Late Mattia Pascal&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The Late Mattia Pascal"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
431	5	uri	http://www.wikidata.org/entity/Q3021244	uri	https://en.wikipedia.org/wiki/One,_No_One_and_One_Hundred_Thousand	http://www.w3.org/2001/XMLSchema#integer	literal	5	literal	4411927-6	http://www.w3.org/2001/XMLSchema#dateTime	literal	1926-01-01T00:00:00Z	en	literal	One, No one and One Hundred Thousand	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	64		Eax|Oaxkr|Eaxkr|Kcu	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit One, No one and One Hundred Thousand&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""One, No one and One Hundred Thousand"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
432	6	uri	http://www.wikidata.org/entity/Q3241764	uri	https://en.wikipedia.org/wiki/Liol%C3%A0	http://www.w3.org/2001/XMLSchema#integer	literal	4						en	literal	Liola	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	2	FMAG|LS1	Afn|Aau	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Liola&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		2	FMAG|LS1	Afn|Aau	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Liola"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
433	7	uri	http://www.wikidata.org/entity/Q3676318	uri	https://en.wikipedia.org/wiki/Each_In_His_Own_Way	http://www.w3.org/2001/XMLSchema#integer	literal	3						en	literal	Each In His Own Way	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	5		Oaxkr|Oaxkf|Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Each In His Own Way&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Each In His Own Way"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
434	8	uri	http://www.wikidata.org/entity/Q3794181	uri	https://en.wikipedia.org/wiki/The_Rules_of_the_Game_(play)	http://www.w3.org/2001/XMLSchema#integer	literal	2						en	literal	The rules of the game	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	167	LS1	Oau|Aau|Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The rules of the game&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The rules of the game"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
435	9	uri	http://www.wikidata.org/entity/Q3819063	uri	https://en.wikipedia.org/wiki/L%27Esclusa	http://www.w3.org/2001/XMLSchema#integer	literal	3			http://www.w3.org/2001/XMLSchema#dateTime	literal	1908-01-01T00:00:00Z	en	literal	L'Esclusa	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	0			https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit L'Esclusa&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""L'Esclusa"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
436	10	uri	http://www.wikidata.org/entity/Q3820016	uri	https://en.wikipedia.org/wiki/The_Man_with_the_Flower_in_His_Mouth	http://www.w3.org/2001/XMLSchema#integer	literal	4						en	literal	The Man with the Flower in His Mouth	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	0			https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The Man with the Flower in His Mouth&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The Man with the Flower in His Mouth"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
437	11	uri	http://www.wikidata.org/entity/Q3927728	uri	https://en.wikipedia.org/wiki/Tonight_We_Improvise	http://www.w3.org/2001/XMLSchema#integer	literal	4	literal	4522286-1				en	literal	Tonight We Improvise	en	literal	Luigi Pirandello	en	literal	Italian	Pirandello	0			https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Tonight We Improvise&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Tonight We Improvise"" and PER Pirandello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
438	0	uri	http://www.wikidata.org/entity/Q4728760	uri	https://en.wikipedia.org/wiki/All_God%27s_Chillun_Got_Wings_(play)	http://www.w3.org/2001/XMLSchema#integer	literal	4			http://www.w3.org/2001/XMLSchema#dateTime	literal	1924-01-01T00:00:00Z	en	literal	All God's Chillun Got Wings	en	literal	Eugene O'Neill				O'Neill	2	BBW-DID	Asr|Aau	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit All God's Chillun Got Wings&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		2	BBW-DID	Asr|Aau	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""All God's Chillun Got Wings"" and PER O'Neill&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
439	1	uri	http://www.wikidata.org/entity/Q5319105	uri	https://en.wikipedia.org/wiki/Dynamo_(play)	http://www.w3.org/2001/XMLSchema#integer	literal	3						en	literal	Dynamo	en	literal	Eugene O'Neill				O'Neill	118	7/057|BBK-FUS	Oax0f|Oau|Aau|Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Dynamo&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Dynamo"" and PER O'Neill&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
440	2	uri	http://www.wikidata.org/entity/Q5933517	uri	https://en.wikipedia.org/wiki/Hughie	http://www.w3.org/2001/XMLSchema#integer	literal	2						en	literal	Hughie	en	literal	Eugene O'Neill				O'Neill	7	7/029|FMAG	Aan|Gay|Oaxkr|Aauk|Aax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Hughie&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		1	7/029	Aan	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Hughie"" and PER O'Neill&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
441	3	uri	http://www.wikidata.org/entity/Q6505913	uri	https://en.wikipedia.org/wiki/Lazarus_Laughed	http://www.w3.org/2001/XMLSchema#integer	literal	3						en	literal	Lazarus Laughed	en	literal	Eugene O'Neill				O'Neill	1	BBW-DID	Aau	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Lazarus Laughed&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		1	BBW-DID	Aau	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Lazarus Laughed"" and PER O'Neill&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
442	4	uri	http://www.wikidata.org/entity/Q6911052	uri	https://en.wikipedia.org/wiki/More_Stately_Mansions	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	More Stately Mansions	en	literal	Eugene O'Neill				O'Neill	5	7/029|7/052|FMAG	Aan|Aau|Aauaz0	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit More Stately Mansions&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		5	7/029|7/052|FMAG	Aan|Aau|Aauaz0	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""More Stately Mansions"" and PER O'Neill&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
443	5	uri	http://www.wikidata.org/entity/Q7621410	uri	https://en.wikipedia.org/wiki/Strange_Interlude	http://www.w3.org/2001/XMLSchema#integer	literal	7						en	literal	Strange Interlude	en	literal	Eugene O'Neill	en	literal	English	O'Neill	3	7/052|BBW-DID	AFu|Aau|Aar	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Strange Interlude&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		2	7/052|BBW-DID	Aau|Aar	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Strange Interlude"" and PER O'Neill&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
444	6	uri	http://www.wikidata.org/entity/Q7737784	uri	https://en.wikipedia.org/wiki/The_Great_God_Brown	http://www.w3.org/2001/XMLSchema#integer	literal	2						en	literal	The Great God Brown	en	literal	Eugene O'Neill				O'Neill	8	FMAG|BBW-DID	Eaxkr|Aau|Oaxkr|Oaxkf|Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The Great God Brown&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		1	BBW-DID	Aau	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The Great God Brown"" and PER O'Neill&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
