	index	book.type	book.value	article.type	article.value	linkCount.datatype	linkCount.type	linkCount.value	gndId.type	gndId.value	publicationDate.datatype	publicationDate.type	publicationDate.value	bookLabel.xml:lang	bookLabel.type	bookLabel.value	authorLabel.xml:lang	authorLabel.type	authorLabel.value	languageLabel.xml:lang	languageLabel.type	languageLabel.value	last_section_surname	nach_bookLabel.value_Bestand_Göttingen	nach_bookLabel.value_Ort_Göttingen	nach_bookLabel.value_Medium_Göttingen	nach_bookLabel.value_URL_GUK	error_nach_title	nach_bookLabel.value_last_section_surname_Bestand_Göttingen	nach_bookLabel.value_last_section_surname_Ort_Göttingen	nach_bookLabel.value_last_section_surname_Medium_Göttingen	nach_bookLabel.value_last_section_surname_URL_GUK
10	0	uri	http://www.wikidata.org/entity/Q3056735	uri	https://en.wikipedia.org/wiki/Mir%C3%A8io	http://www.w3.org/2001/XMLSchema#integer	literal	12			http://www.w3.org/2001/XMLSchema#dateTime	literal	1859-01-01T00:00:00Z	en	literal	Mirèio	en	literal	Frédéric Mistral	en	literal	Provençal	Mistral	14	HG-MAG|BBK-ROM	AFr|Aaxaz0|Gaxc|Aar|Aau|Acr|Afr|Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Mirèio&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		11	HG-MAG|7/906|BBK-ROM	AFr|Aaxaz0|Aan|Gaxc|Aar|Aau	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Mirèio"" and PER Mistral&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
11	0	uri	http://www.wikidata.org/entity/Q335315	uri	https://en.wikipedia.org/wiki/Quo_Vadis_(novel)	http://www.w3.org/2001/XMLSchema#integer	literal	41	literal	4262106-9	http://www.w3.org/2001/XMLSchema#dateTime	literal	1896-01-01T00:00:00Z	en	literal	Quo Vadis	en	literal	Henryk Sienkiewicz	en	literal	Polish	Sienkiewicz	275	7/041|7/037|7/037:OER	Oau|Aau|Oan|Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Quo Vadis&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		20	7/052|TGMAG|BBK-SLAV|BBW-KJL	Aan|Aar|Asu|Aau|Afu|Aacar0	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Quo Vadis"" and PER Sienkiewicz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
12	1	uri	http://www.wikidata.org/entity/Q389970	uri	https://en.wikipedia.org/wiki/The_Trilogy	http://www.w3.org/2001/XMLSchema#integer	literal	3			http://www.w3.org/2001/XMLSchema#dateTime	literal	1884-01-01T00:00:00Z	en	literal	The Trilogy	en	literal	Henryk Sienkiewicz	en	literal	Polish	Sienkiewicz	520	FMAG	AFu|Acu|Aau|Oax	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The Trilogy&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The Trilogy"" and PER Sienkiewicz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
13	2	uri	http://www.wikidata.org/entity/Q927292	uri	https://en.wikipedia.org/wiki/With_Fire_and_Sword	http://www.w3.org/2001/XMLSchema#integer	literal	26			http://www.w3.org/2001/XMLSchema#dateTime	literal	1884-01-01T00:00:00Z	en	literal	With Fire and Sword	en	literal	Henryk Sienkiewicz	en	literal	Polish	Sienkiewicz	31	FMAG	Aaukf|Oaxkr|Oaxkf	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit With Fire and Sword&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""With Fire and Sword"" and PER Sienkiewicz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
14	3	uri	http://www.wikidata.org/entity/Q1214098	uri	https://en.wikipedia.org/wiki/The_Knights_of_the_Cross	http://www.w3.org/2001/XMLSchema#integer	literal	17			http://www.w3.org/2001/XMLSchema#dateTime	literal	1900-01-01T00:00:00Z	en	literal	The Knights of the Cross	en	literal	Henryk Sienkiewicz	en	literal	Polish	Sienkiewicz	25	7/029|FMAG	Aan|Eau|Ecxaz0|Efxaz0|Aau|Ean|Oaxkr	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The Knights of the Cross&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The Knights of the Cross"" and PER Sienkiewicz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
15	4	uri	http://www.wikidata.org/entity/Q2389340	uri	https://en.wikipedia.org/wiki/Fire_in_the_Steppe	http://www.w3.org/2001/XMLSchema#integer	literal	11			http://www.w3.org/2001/XMLSchema#dateTime	literal	1888-01-01T00:00:00Z	en	literal	Fire in the Steppe	en	literal	Henryk Sienkiewicz	en	literal	Polish	Sienkiewicz	3	BBF : MAG	Oau|Aau	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Fire in the Steppe&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Fire in the Steppe"" and PER Sienkiewicz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
16	5	uri	http://www.wikidata.org/entity/Q2635106	uri	https://en.wikipedia.org/wiki/The_Deluge_(novel)	http://www.w3.org/2001/XMLSchema#integer	literal	16	literal	4329191-0	http://www.w3.org/2001/XMLSchema#dateTime	literal	1886-01-01T00:00:00Z	en	literal	The Deluge	en	literal	Henryk Sienkiewicz	en	literal	Polish	Sienkiewicz	276	BBK-ROM|FMAG|ALS1|BBK-HIST|BBWISO	Aax|Aau|Oau	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit The Deluge&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""The Deluge"" and PER Sienkiewicz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
17	6	uri	http://www.wikidata.org/entity/Q2981270	uri	https://en.wikipedia.org/wiki/In_Desert_and_Wilderness	http://www.w3.org/2001/XMLSchema#integer	literal	15			http://www.w3.org/2001/XMLSchema#dateTime	literal	1911-01-01T00:00:00Z	en	literal	In Desert and Wilderness	en	literal	Henryk Sienkiewicz	en	literal	Polish	Sienkiewicz	27	FMAG	Aau|Aauk	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit In Desert and Wilderness&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""In Desert and Wilderness"" and PER Sienkiewicz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
18	7	uri	http://www.wikidata.org/entity/Q4080743	uri	https://en.wikipedia.org/wiki/Without_Dogma	http://www.w3.org/2001/XMLSchema#integer	literal	8			http://www.w3.org/2001/XMLSchema#dateTime	literal	1891-01-01T00:00:00Z	en	literal	Without Dogma	en	literal	Henryk Sienkiewicz	en	literal	Polish	Sienkiewicz	0			https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit Without Dogma&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Without Dogma"" and PER Sienkiewicz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
19	8	uri	http://www.wikidata.org/entity/Q7091356	uri	https://en.wikipedia.org/wiki/On_the_Field_of_Glory	http://www.w3.org/2001/XMLSchema#integer	literal	5			http://www.w3.org/2001/XMLSchema#dateTime	literal	1906-01-01T00:00:00Z	en	literal	On the Field of Glory	en	literal	Henryk Sienkiewicz	en	literal	Polish	Sienkiewicz	1	FMAG	Aaukr	https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=tit On the Field of Glory&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB=		0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""On the Field of Glory"" and PER Sienkiewicz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="
