	author	title	link	img_src	price	year	price_extracted	surname	title_extracted	nach_Titel_Autor_ppn	nach_Titel_Autor_medium	nach_Titel_Autor_Bestand_K10	nach_title_extracted_surname_Ort_Göttingen	nach_title_extracted_surname_Medium_Göttingen	nach_title_extracted_surname_URL_GUK	nach_title_extracted_surname_Bestand_Göttingen
10	Von Chris Rainier. München 2019.	Masken. Gesichter und Mythen von den Enden der Welt.	https://www.froelichundkaufmann.de/aktueller-newsletter/masken-gesichter-und-mythen-von-den-enden-der-welt.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/maskengesichter-und-mythen-von-den-enden-der-welt_1158147.jpg	vom Verlag reduziert 29,99 €	2019.0	29.99	Rainier	Masken	1685329586	Aau	5.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Masken"" and PER Rainier&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
11	Illustriert von Karl Lagerfeld. Münster 2019.	Hans Christian Andersen. Des Kaisers neue Kleider.	https://www.froelichundkaufmann.de/aktueller-newsletter/hans-christian-andersen-des-kaisers-neue-kleider.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/hans-christian-andersendes-kaisers-neue-kleider_1156233.jpg	nur 14,95 €	2019.0	14.95	Lagerfeld	Hans Christian Andersen	1742954871	Aan	1.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Hans Christian Andersen"" and PER Lagerfeld&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
12	Von Hauke Friederichs. Berlin 2019.	Funkenflug. August 1939. Der Sommer, bevor der Krieg begann.	https://www.froelichundkaufmann.de/aktueller-newsletter/funkenflug-august-1939-der-sommer-bevor-der-krieg-begann.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/funkenflugaugust-1939der-sommerbevor-der-krieg-begann_1152505.jpg	nur 9,95 €	2019.0	9.95	Friederichs	Funkenflug	1741127947|1733277854|1670707318|166491028X	Aau|Aax|Oax|Aau	23.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Funkenflug"" and PER Friederichs&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
13	Hg. Stefan Geyer. Wiesbaden 2019.	Die Kunst des Gehens. Ein literarischer Wegbegleiter.	https://www.froelichundkaufmann.de/aktueller-newsletter/die-kunst-des-gehens-ein-literarischer-wegbegleiter.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/die-kunst-des-gehensein-literarischer-wegbegleiter_1146050.jpg	nur 9,90 €	2019.0	9.9	Geyer	Die Kunst des Gehens	1727194896|1665651407	Oax|Aau	2.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Die Kunst des Gehens"" and PER Geyer&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
14	Von Courtney Watson McCarthy. London 2019.	Leonardo Pop-Ups.	https://www.froelichundkaufmann.de/aktueller-newsletter/leonardo-pop-ups.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/leonardo-pop-ups_1134191.jpg	nur 18,00 €	2019.0	18.0	McCarthy	Leonardo Pop-Ups						"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Leonardo Pop-Ups"" and PER McCarthy&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
15	Hg. Bastian Eclercy, u. a. Katalog, Städel Museum Frankfurt a. M. 2019.	Tizian und die Renaissance in Venedig.	https://www.froelichundkaufmann.de/aktueller-newsletter/tizian-und-die-renaissance-in-venedig.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/tizian-und-die-renaissance-in-venedig_1110667.jpg	nur 19,95 €	2019.0	19.95	Eclercy	Tizian und die Renaissance in Venedig	1665774568|1040169333	Aau|Aau	37.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Tizian und die Renaissance in Venedig"" and PER Eclercy&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
16	Von Udo Einenkel. München 2016.	Das Yoga-Kochbuch. Ayurveda, Rohkost, Vollwert, vegan, vegetarisch .	https://www.froelichundkaufmann.de/aktueller-newsletter/das-yoga-kochbuch-ayurveda-rohkost-vollwert-vegan-vegetarisch.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/das-yoga-kochbuchayurvedarohkostvollwertveganvegetarisch_1106775.jpg	vom Verlag reduziert 9,95 €	2016.0	9.95	Einenkel	Das Yoga-Kochbuch	842269223	Aau	1.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Das Yoga-Kochbuch"" and PER Einenkel&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
17	Von Peter & Beverly Pickford. München 2018.	Wildes Land.	https://www.froelichundkaufmann.de/aktueller-newsletter/wildes-land.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/wildes-land_1075381.jpg	vom Verlag reduziert 29,99 €	2018.0	29.99	Pickford	Wildes Land	1019612959	Aau	3.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Wildes Land"" and PER Pickford&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
18	Von Christoph Brachmann, Meinrad von Engelberg, Christian Freigang. Darmstadt ...	WBG Architekturgeschichte. 3 Bände.	https://www.froelichundkaufmann.de/aktueller-newsletter/wbg-architekturgeschichte-3-baende.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/wbg-architekturgeschichte3-baende_1073206.jpg	Sonderausgabe** 25,00 €		25.0	Brachmann	WBG Architekturgeschichte	1682480593|1582460698|1031245715|1554447089|1461095271|747160716|1754592228	Oax|AFu|Afu|Afn|AFu|Afu|Aan	61.0	LS1|7/055	Afu	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""WBG Architekturgeschichte"" and PER Brachmann&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	2
19	Von Stefano Zuffi. Köln 2017.	Caravaggio. Meisterwerke im Detail.	https://www.froelichundkaufmann.de/aktueller-newsletter/caravaggio-meisterwerke-im-detail.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/caravaggiomeisterwerke-im-detail_1018531.jpg	Sonderausgabe** 14,95 €	2017.0	14.95	Zuffi	Caravaggio	1745121242|1745121145|173834357X|1702090329|1671500644|1644313588|1629898767|1623838495|101473083X|1000683214|872792331|1616166800|1614069700|658420925|646326309|64169282X|1614776563|476165903|1611006112|337169799|1622807200	Aax|Aax|Aau|Aax|Aax|Aau|Aau|Aau|Aax|Aax|Aau|Aau|Aau|Aau|Aau|Aau|Aau|Aax|Aau|Aax|Aar	18.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Caravaggio"" and PER Zuffi&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
